,open_price,high_price,low_price,close_price,vwap,money,volume,date,times,code_index
0,4.64,4.64,4.64,4.64,4.64,0.0,0.0,20231120.0,93000.0,0
1,4.65,4.66,4.65,4.66,4.651871757802534,19145476000.0,411565.0,20231120.0,93100.0,0
2,4.66,4.66,4.65,4.65,4.6506712032168265,15035620000.0,323300.0,20231120.0,93200.0,0
3,4.65,4.65,4.63,4.63,4.640667564948113,9815708000.0,211515.0,20231120.0,93300.0,0
4,4.64,4.64,4.63,4.64,4.633485554520037,4971730000.0,107300.0,20231120.0,93400.0,0
5,4.64,4.64,4.63,4.64,4.635172413793104,2150720000.0,46400.0,20231120.0,93500.0,0
6,4.63,4.64,4.63,4.63,4.631902654867257,3140430000.0,67800.0,20231120.0,93600.0,0
7,4.64,4.64,4.63,4.63,4.631039283938339,9313020000.0,201100.0,20231120.0,93700.0,0
8,4.64,4.64,4.63,4.63,4.62905221339387,8156390000.0,176200.0,20231120.0,93800.0,0
9,4.62,4.63,4.62,4.63,4.628773584905661,3434550000.0,74200.0,20231120.0,93900.0,0
10,4.63,4.63,4.62,4.63,4.628436911487759,4915400000.0,106200.0,20231120.0,94000.0,0
11,4.62,4.63,4.62,4.63,4.627398297067171,4891160000.0,105700.0,20231120.0,94100.0,0
12,4.63,4.64,4.63,4.64,4.629814634146341,4745560000.0,102500.0,20231120.0,94200.0,0
13,4.64,4.64,4.62,4.63,4.629834824501033,6727150000.0,145300.0,20231120.0,94300.0,0
14,4.63,4.63,4.62,4.63,4.628382749326146,1717130000.0,37100.0,20231120.0,94400.0,0
15,4.63,4.63,4.62,4.62,4.625203836930456,1928710000.0,41700.0,20231120.0,94500.0,0
16,4.62,4.63,4.62,4.63,4.622729166666667,2218910000.0,48000.0,20231120.0,94600.0,0
17,4.62,4.63,4.62,4.63,4.622677484787018,2278980000.0,49300.0,20231120.0,94700.0,0
18,4.63,4.63,4.62,4.63,4.623431122448979,3624770000.0,78400.0,20231120.0,94800.0,0
19,4.63,4.63,4.62,4.63,4.620457129322595,19507570000.0,422200.0,20231120.0,94900.0,0
